Hisse,Link,Pay Grubu,İmtiyaz Türü,Borsada işlem görüp görmediği
MİLPA TİCARİ VE SINAİ ÜRÜNLER PAZARLAMA SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4701411763ed38047c,-,-,İşlem Görüyor
MİSTRAL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c4540d444501545d374f8d070a,A,,İşlem Görmüyor
MLP SAĞLIK HİZMETLERİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1462cc5dd01465c9550782baa,A,VAR,İşlem Görmüyor
MMC SANAYİ VE TİCARİ YATIRIMLAR A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1415f4d99014160040b8e3137,A,Oy hakkı ve Yönetim Kurulu'na Aday Gösterme,İşlem Görmüyor
MOBİLTEL İLETİŞİM HİZMETLERİ SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c57afb2d70017d12c6d335669c,A,Yönetim Kurulu üyelerinin yarısını aday gösterme imtiyazına sahiptir.,İşlem Görmüyor
MOGAN ENERJİ YATIRIM HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c473646c5e0173e77f33b35138,A,OYDA İMTİYAZ,İşlem Görmüyor
MONDİ TURKEY OLUKLU MUKAVVA KAĞIT VE AMBALAJ SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a24158e42201415ae7c0875fab,-,YOK,İşlem Görüyor
NASMED ÖZEL SAĞLIK HİZMETLERİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c4794d3648017a9fceecca0bad,A,,İşlem Görmüyor
NATUREL YENİLENEBİLİR ENERJİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c469cee2a2016bb6c259155c47,A,Genel Kurul toplantılarında A Grubu pay sahipleri bir paya karşılık 15 oy hakkına sahiptir.,İşlem Görmüyor
NATURELGAZ SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c4782a4d580178492e12820f4f,-,Yok,İşlem Görüyor
NET HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed7101412ba0829f034d,A,Yönetim Kurulu Üyelerinin tam sayı ve çoğunluk oluşturacak biçimde yarıdan fazlası 14/A Grubu pay sahiplerinin göstereceği adaylar arasından seçilir.,İşlem Görmüyor
NETAŞ TELEKOMÜNİKASYON A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef47014111d7df220232,A,Genel Kurul Toplantısında Yönetim Kurulu aday gösterme,İşlem Görmüyor
NİĞBAŞ NİĞDE BETON SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1413b7ef501413bc24123002f,-,Yoktur,İşlem Görüyor
NUH ÇİMENTO SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a141558bdd014156053d9f04b2,-,Yoktur,İşlem Görüyor
NUROL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1416e696301416f6100e76fb9,A,Yönetim Kuruluna Aday Gösterme,İşlem Görmüyor
OBA MAKARNACILIK SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c58b2fa64e018dc01d63686b27,A,,İşlem Görmüyor
OBASE BİLGİSAYAR VE DANIŞMANLIK HİZMETLERİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c57f7cbb49018050e4303b068b,A,Genel Kurul 5 oy,İşlem Görmüyor
ODAŞ ELEKTRİK ÜRETİM SANAYİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a2416e696c01416edd70713183,A,"(A) grubu paylar Şirket Esas Sözleşmenin 7, 8 ve 10?uncu maddeleri (Yönetim Kurulu, Yönetim Kuruluna Aday Gösterme, Başkan ve Başkan Vekili Seçilme, Şirketi Temsil ve Genel Kurulda Oy Hakkı) çerçevesinde yönetim kurulu üyelerinin belirlenmesi ve genel kurulda oy hakkı kullanımında imtiyaza sahiptir.",İşlem Görmüyor
ODİNE SOLUTİONS TEKNOLOJİ TİCARET VE SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c58b2fa64e018e1cbdc7e02623,A,Yönetim kurulunda aday gösterme imtiyazı ve genel kurulda (her bir paya 5 (beş) oy hakkı veren) Oy imtiyazı bulunmaktadır,İşlem Görmüyor
OFİS YEM GIDA SANAYİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c586d22c510189bf5dfc710286,A,"A grubu pay sahiplerinin yönetim kurulu başkanını seçme, genel kurulda oy imtiyazı ve tasfiye memuru belirleme imtiyazı bulunmaktadır.",İşlem Görmüyor
ONCOSEM ONKOLOJİK SİSTEMLER SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c4812b870c018161f7cdde10f3,A,Yönetim kurulu üye seçiminde imtiyaz ve oy hakkı imtiyazı,İşlem Görmüyor
ONUR YÜKSEK TEKNOLOJİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c58b2fa64e018f8540ca5f57d4,A,Oy hakkı imtiyazı ve yönetim kuruluna aday gösterme imtiyazı,İşlem Görmüyor
ORÇAY ORTAKÖY ÇAY SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c47afb298b017b5ea1d5ee3d78,A,İmtiyazlı,İşlem Görmüyor
ORGE ENERJİ ELEKTRİK TAAHHÜT A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140ee35c00140ee3971130009,-,Yoktur,İşlem Görüyor
ORMA ORMAN MAHSULLERİ İNTEGRE SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240ee37a90140ee3cedbb0002,-,yok,İşlem Görüyor
OSMANLI YATIRIM MENKUL DEĞERLER A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240ee37a30140ee408ef80002,A,Yönetim kurulu üye seçiminde imtiyaz,İşlem Görmüyor
OSTİM ENDÜSTRİYEL YATIRIMLAR VE İŞLETME A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a241462fd8014149e82fb004c5,A,Genel Kurul toplantılarında A Grubu pay sahipleri bir hisseye karşılık 15 oy hakkına sahiptir. A Grubu hisselerin oy kullanımındaki imtiyazı her bir gerçek ve tüzel kişi pay sahibinin sadece A Grubu hisse toplamının %40'ına kadar geçerlidir; bundan fazla A Grubu hisseye sahip olunması halinde fazla hisseler için imtiyaz geçersizdir.,İşlem Görmüyor
OTOKAR OTOMOTİV VE SAVUNMA SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140ee35c70140ee4316b3001d,-,Yok,İşlem Görüyor
OTTO HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a14203278a01420955fc5d14bd,-,YOKTUR,İşlem Görüyor
OYAK ÇİMENTO FABRİKALARI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed720140f32377aa016c,-,,
OYAK YATIRIM MENKUL DEĞERLER A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a14158e41f01415a5e854d4441,-,İMTİYAZLI DEĞİL,İşlem Görüyor
OYAK YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140ee35c70140ee4e93870038,A,İmtiyazlı,İşlem Görmüyor
OYLUM SINAİ YATIRIMLAR A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a14184e9cf0141919d8abd1552,A,Oy ve Yönetim Kurulu Üye Seçimi İmztiyazı,İşlem Görmüyor
ÖZAK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed720141079632d0024f,A,Yönetim kurulu üyelerinin seçiminde aday gösterme imtiyazı vardır. Yönetim kurulu üyelerinin 4 adedi A grubu pay sahiplerinin çoğunlukla göstereceği adaylar arasından olmak üzere genel kurul tarafından seçilir.,İşlem Görmüyor
ÖZDERİCİ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140ee35c70140ee582a75003c,-,İmtiyazsız,İşlem Görüyor
ÖZERDEN AMBALAJ SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/1DE05DAA82D2073AE0530A4A622A2EBD,A,Yönetim Kurulu Üyelerinin seçiminde aday gösterme imtiyazı. Genel Kurul Toplantılarında Oy hakkı imtiyazı. Tasfiye kararı alınmasında ve tasfiye memurlarını gösterme imtiyazı vardır.,İşlem Görmüyor
ÖZSU BALIK ÜRETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c465a51c380166776d73784fba,A,"Yönetim kurulu üyelerinin seçiminde aday gösterme imtiyazı, genel kurul toplantılarında oy hakkı imtiyazı, tasfiye kararı alınmasında imtiyazı vardır.",İşlem Görmüyor
ÖZYAŞAR TEL VE GALVANİZLEME SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c58b2fa64e018f853cd37d57cf,A,,
PAMEL YENİLENEBİLİR ELEKTRİK ÜRETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a246b4c5a90147f8ed32b0722f,A,Genel Kurulda 15 Oy Hakkı ve Yönetim Kurulu Üyelerinin Yarısını Aday Gösterme,İşlem Görmüyor
PANELSAN ÇATI CEPHE SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c47d3bee50017db95876e6220e,A,"yk temsil imtiyazı, genel kurul 5 oy hakkı, özellikli kararların alınmasında imtiyaz, esas sözleşme değişiklik imtiyazı, tasfiye kararı almada imtiyaz",İşlem Görmüyor
PANORA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4c014134d6641f062a,-,-,İşlem Görüyor
PAPİLON SAVUNMA TEKNOLOJİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c46e7fdc6a016e93286c5304b5,-,Bulunmamaktadır,İşlem Görüyor
PARDUS GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c57afb2d71017bceb97170639d,A,Aday Gösterme İmtiyazı,İşlem Görmüyor
PARK ELEKTRİK ÜRETİM MADENCİLİK SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a141da49ea0141e45622e54843,A,Yönetim Kurulu üyesi aday gösterme,İşlem Görmüyor
PARSAN MAKİNA PARÇALARI SANAYİİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140ee84900140f1ecef250011,-,YOK,İşlem Görüyor
PASİFİK DONANIM VE YAZILIM BİLGİ TEKNOLOJİLERİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c58b2fa64e018d63b9afbd4e6c,A,Oy imtiyazı,İşlem Görmüyor
PASİFİK EURASİA LOJİSTİK DIŞ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c586d22c5101887ae575873835,A,Yönetim Kurulu belirlenmesi ve oy hakkı,İşlem Görmüyor
PASİFİK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c4794d364a017a51e9e5d256c9,A,Yönetim kurulu üyelerinin seçiminde aday gösterme imtiyazı,İşlem Görmüyor
PC İLETİŞİM VE MEDYA HİZMETLERİ SANAYİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c5782a4e6d017844c378070abd,A,Yönetime Aday Gösterme ve Genel kurulda oy imtiyazı,İşlem Görmüyor
PEGASUS HAVA TAŞIMACILIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a2422d9a78014232e751bc22a4,-,Yok,İşlem Görüyor
PEKER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c55fc6011001617acbeb1b48da,A,Yönetim Kurulu Seçim imtiyazı,İşlem Görmüyor
PENGUEN GIDA SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a246b4c5a9014836bd56174fe9,A,Yönetim kurulu üyeleri yarıdan bir fazlasını aday gösterme,İşlem Görmüyor
PENTA TEKNOLOJİ ÜRÜNLERİ DAĞITIM TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a14184e9c9014198033c094251,A,,
PERA YATIRIM HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240ee866c0140f1f6699e0018,-,,İşlem Görüyor
