Hisse,Link,Pay Grubu,İmtiyaz Türü,Borsada işlem görüp görmediği
YAYLA ENERJİ ÜRETİM TURİZM VE İNŞAAT TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1486ec80b0148c539d6721829,A,Yönetim Kurulu Üye Seçimi ve Oy Hakkı,İşlem Görmüyor
YENİ GİMAT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a241733d4201417cda3f421321,A,Yönetim Kuruluna üye seçiminde aday gösterme imtiyazı,İşlem Görmüyor
YEO TEKNOLOJİ ENERJİ VE ENDÜSTRİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed7101413af3da8c0440,A,Oy Hakkı,İşlem Görmüyor
YEŞİL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a141558bdd0141560fb3fb051a,A,Yönetim kurulunda aday gösterme imtiyazı,İşlem Görmüyor
YEŞİL YAPI ENDÜSTRİSİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1416e696301416f35f8425ec3,-,,
YEŞİL YATIRIM HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a2416e696c01416edc458b30f0,A,Yönetim kurulu üyelerinin seçiminde A grubu payların her biri 15 oy hakkına sahiptir.,
YİBİTAŞ YOZGAT İŞÇİ BİRLİĞİ İNŞAAT MALZEMELERİ TİCARET VE SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a2416f888d01416f94bfb001ec,-,,
YİĞİT AKÜ MALZEMELERİ NAKLİYAT TURİZM İNŞAAT SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c48c3efac0018fabe5e40b5043,A,Oy Hakkında İmtiyaz ve Yönetim Kurulu Üyesi Aday Gösterme İmtiyazı,İşlem Görmüyor
YONGA MOBİLYA SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a24158e42201415b0fde196300,-,YOK,İşlem Görüyor
YÜKSELEN ÇELİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c569cee403016a6e925a8b5bd8,A,"A grubu payların Genel Kurul toplantılarında oy hakkı imtiyazı, tasfiye kararı alınmasında ve tasfiye memurlarının seçiminde imtiyazları vardır.",İşlem Görmüyor
YÜNSA YÜNLÜ SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4c014101b726fa011d,-,YOK,İşlem Görüyor
ZEDUR ENERJİ ELEKTRİK ÜRETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef470141164fd5f803a1,A,,İşlem Görmüyor
ZİRAAT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c45835eb660158bfedd32d3332,A,Yönetim kurulu üyelerinin seçiminde aday gösterme imtiyazı,İşlem Görmüyor
ZORLU ENERJİ ELEKTRİK ÜRETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed7201412c19687407a7,A,Yönetim Kurulu üye seçiminde aday gösterme imtiyazı,İşlem Görmüyor
1000 YATIRIMLAR HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c48b2fa25a018bba0a5034596d,A,Oy ve Yönetim,İşlem Görmüyor
