EQUITY CODE,INDICES,SOZLESME KODU,BIST 30,BIST 50,BIST 100
TAVHL.E,BIST 50,"F_TAVHL0125, F_TAVHL0225, F_TAVHL0325",0,1,1
TCELL.E,BIST 30,"F_TCELL0125, F_TCELL0225, F_TCELL0325",1,1,1
THYAO.E,BIST 30,"F_THYAO0125, F_THYAO0225, F_THYAO0325",1,1,1
TKFEN.E,BIST 50,"F_TKFEN0125, F_TKFEN0225, F_TKFEN0325",0,1,1
TMSN.E,BIST 100,,0,0,1
TOASO.E,BIST 30,"F_TOASO0125, F_TOASO0225, F_TOASO0325",1,1,1
TSKB.E,BIST 100,"F_TSKB0125, F_TSKB0225, F_TSKB0325",0,0,1
TSPOR.E,BIST 100,,0,0,1
TTKOM.E,BIST 30,"F_TTKOM0125, F_TTKOM0225, F_TTKOM0325",1,1,1
TTRAK.E,BIST 100,,0,0,1
TUKAS.E,BIST 100,,0,0,1
TUPRS.E,BIST 30,"F_TUPRS0125, F_TUPRS0225, F_TUPRS0325",1,1,1
TURSG.E,BIST 100,,0,0,1
ULKER.E,BIST 30,"F_ULKER0125, F_ULKER0225, F_ULKER0325",1,1,1
VAKBN.E,BIST 50,"F_VAKBN0125, F_VAKBN0225, F_VAKBN0325",0,1,1
VESTL.E,BIST 50,"F_VESTL0125, F_VESTL0225, F_VESTL0325",0,1,1
YEOTK.E,BIST 100,,0,0,1
YKBNK.E,BIST 30,"F_YKBNK0125, F_YKBNK0225, F_YKBNK0325",1,1,1
ZOREN.E,BIST 50,,0,1,1
